uf_code,uf_name,mesoregion_code,mesoregion_name,microregion_code,microregion_name,city_code,city_complete_code,city_name
15,PA,1,Baixo Amazonas,2,Santarém,6005,1506005,PRAINHA
15,PA,4,Nordeste Paraense,10,Bragantina,6104,1506104,PRIMAVERA
15,PA,4,Nordeste Paraense,10,Bragantina,6112,1506112,QUATIPURU
15,PA,6,Sudeste Paraense,21,Redenção,6138,1506138,REDENÇÃO
15,PA,6,Sudeste Paraense,21,Redenção,6161,1506161,RIO MARIA
15,PA,6,Sudeste Paraense,17,Paragominas,6187,1506187,RONDON DO PARÁ
15,PA,5,Sudoeste Paraense,14,Itaituba,6195,1506195,RURÓPOLIS
15,PA,4,Nordeste Paraense,9,Salgado,6203,1506203,SALINÓPOLIS
15,PA,2,Marajó,6,Arari,6302,1506302,SALVATERRA
15,PA,3,Metropolitana de Belém,7,Belém,6351,1506351,SANTA BÁRBARA DO PARÁ
15,PA,2,Marajó,6,Arari,6401,1506401,SANTA CRUZ DO ARARI
15,PA,3,Metropolitana de Belém,8,Castanhal,6500,1506500,SANTA IZABEL DO PARÁ
15,PA,4,Nordeste Paraense,13,Guamá,6559,1506559,SANTA LUZIA DO PARÁ
15,PA,6,Sudeste Paraense,22,Conceição do Araguaia,6583,1506583,SANTA MARIA DAS BARREIRAS
15,PA,4,Nordeste Paraense,10,Bragantina,6609,1506609,SANTA MARIA DO PARÁ
15,PA,6,Sudeste Paraense,22,Conceição do Araguaia,6708,1506708,SANTANA DO ARAGUAIA
15,PA,1,Baixo Amazonas,2,Santarém,6807,1506807,SANTARÉM
15,PA,4,Nordeste Paraense,10,Bragantina,6906,1506906,SANTARÉM NOVO
15,PA,3,Metropolitana de Belém,8,Castanhal,7003,1507003,SANTO ANTÔNIO DO TAUÁ
15,PA,4,Nordeste Paraense,9,Salgado,7102,1507102,SÃO CAETANO DE ODIVELAS
15,PA,6,Sudeste Paraense,20,Marabá,7151,1507151,SÃO DOMINGOS DO ARAGUAIA
15,PA,4,Nordeste Paraense,13,Guamá,7201,1507201,SÃO DOMINGOS DO CAPIM
